ComplaintID,Date,Time,Province,District,CustomerType,CustomerPlan,ComplaintChannel,ComplaintText,Language,Category,SubCategory,Priority,Severity,Department,Status,AssignedEngineer,Resolution,ResolutionHours,Escalated,DuplicateTicket,Sentiment,CustomerRating,NetworkTechnology,DeviceType,RouterBrand,EstimatedCost,AISummary
NTC-202603-011500,2026-03-22,15:28:06,Koshi,Ilam,Residential,Fiber 200Mbps,Mobile App,"Statement ma double charge katya chha, billing correction garidinus.",Nepali-English,Billing,Duplicate Payment Deducted,Low,Low,Billing,In Progress,Eng. Unassigned,Pending investigation by assigned field team.,0.0,False,False,Happy,,Fiber,Wi-Fi Router,D-Link,480.64,Billing discrepancy or customer account tariff dispute.
NTC-202603-006476,2026-03-02,11:08:44,Karnali,Surkhet,Business,BizFiber 300Mbps,SMS Alert,esim profile download bhayena. qr code invalid dekhaunchha. please fix asap.,Nepali-English,SIM Activation,eSIM QR Code Failure,Medium,Medium,Mobile Team,Resolved,Eng. Unassigned,Field team dispatched to site in Surkhet. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,31.77,False,False,Frustrated,1,5G,ONT Optical Router,N/A,355.19,SIM card provisioning or KYC activation issue.
NTC-202603-013168,2026-03-15,15:31:58,Lumbini,Arghakhanchi,Business,BizFiber 300Mbps,SMS Alert,Internet has been down completely since 2 PM. Broadband status says offline.,English,Internet Down,WAN IP Disconnected,High,High,Internet Support,In Progress,Eng. Bikash Thapa,Pending investigation by assigned field team.,0.0,False,False,Angry,,Fiber,Wi-Fi Router,Tenda,727.37,Total internet connectivity blackout reported by customer.
NTC-202606-000863,2026-06-01,11:03:18,Sudurpashchim,Doti,Residential,ADSL Standard,Social Media,IPTV setup box freezing on boot logo screen. Remote not responding. Please fix ASAP.,English,IPTV,STB HDMI Signal Lost,Medium,Medium,Internet Support,Resolved,Eng. Nabin Chaudhary,Field team dispatched to site in Doti. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,27.77,False,False,Frustrated,1,FTTH,Wi-Fi Router,Nokia,484.14,"IPTV stream pixelation, freezing, or STB authentication failure."
NTC-202606-005971,2026-06-12,09:07:44,Koshi,Jhapa,Corporate,SLA Premium Fiber,Counter Visit,"BELUKA BHAYE PACHI NET TESTAI SLOW HUNCHHA, YOUTUBE 240P MA PANI BUFFER BHAIRACHA.",Nepali-English,Internet Slow,Bandwidth Throttled,Critical,Medium,Internet Support,Resolved,Eng. Unassigned,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,1.05,True,False,Angry,5,4G,4G CPE Router,N/A,4973.37,Customer experiencing lower than subscribed bandwidth speed.
NTC-202604-006707,2026-04-03,13:52:42,Koshi,Dhankuta,Government,GovNet Enterprise Fiber 100Mbps,SMS Alert,"Beluka bhaye pachi net testai slow hunchha, YouTube 240p ma pani buffer bhairacha. Waiting for reply.",Nepali-English,Internet Slow,Bandwidth Throttled,Critical,Medium,Internet Support,Resolved,Eng. Deepa Sharma,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,2.36,True,False,Angry,3,4G,4G CPE Router,N/A,5407.49,Customer experiencing lower than subscribed bandwidth speed.
NTC-202606-003018,2026-06-28,08:21:22,Madhesh,Dhanusha,Corporate,Dedicated Enterprise Fiber 1Gbps,Web Portal,bill invoice copy mail gardinus accounting department ko lagi. solved this fast.,Nepali-English,Billing,Rental Overcharge,Low,Low,Billing,Closed,Eng. Unassigned,Field team dispatched to site in Dhanusha. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,29.35,False,False,Neutral,4,FTTH,Smartphone,Nokia,117.31,Billing discrepancy or customer account tariff dispute.
NTC-202603-003782,2026-03-01,09:22:36,Madhesh,Siraha,Residential,Fiber 50Mbps,Call Center (198),ESIM PROFILE DOWNLOAD BHAYENA. QR CODE INVALID DEKHAUNCHHA.,Nepali-English,SIM Activation,KYC Verification Pending,Medium,Medium,Mobile Team,Resolved,Eng. Nabin Chaudhary,Field team dispatched to site in Siraha. Re-spliced optical fiber cable and tested optical power level (-19dBm). Link restored.,21.87,False,False,Neutral,4,4G,Wi-Fi Router,N/A,327.27,SIM card provisioning or KYC activation issue.
NTC-202603-003899,2026-03-13,09:44:17,Gandaki,Tanahu,Business,BizFiber 300Mbps,Call Center (198),"Heloo support team, ONT box power off chha adapter fuse bhayo jasto xa. Device on nai bhayera aayenam. Waiting for reply.",Nepali-English,ONT Offline,PON Light Out,High,High,Fiber Team,Closed,Eng. Prakash Maharjan,Rebooted port interface on OLT/BRAS gateway and refreshed PPPoE user session credentials.,8.5,False,False,Frustrated,2,FTTH,Fiber Media Converter,Tenda,862.27,ONT optical terminal offline or unregistered.
NTC-202605-002251,2026-05-19,17:22:13,Koshi,Morang,Residential,Fiber 100Mbps,Mobile App,ping spikes continuously from 25ms up to 600ms every 30 seconds.,English,High Ping,Gaming Latency Spike,Medium,Medium,Internet Support,In Progress,Eng. Prakash Maharjan,Pending investigation by assigned field team.,0.0,False,False,Frustrated,,Fiber,Smartphone,Tenda,55.59,High latency/ping spikes affecting real-time network traffic.
